Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;36886784
TOTAL;AUTOBUSES;TOTAL;63740
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2165713
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;346977
TOTAL;CICLOMOTORES;TOTAL;1881725
TOTAL;FURGONETAS;TOTAL;2544035
TOTAL;MOTOCICLETAS;TOTAL;3791334
TOTAL;OTROS VEHÍCULOS;TOTAL;493057
TOTAL;REMOLQUES;TOTAL;217484
TOTAL;SEMIRREMOLQUES;TOTAL;288071
TOTAL;TRACTORES INDUSTRIALES;TOTAL;238243
TOTAL;TURISMOS;TOTAL;24856405
Andalucía/Almería;AUTOBUSES;TOTAL;826
Andalucía/Almería;AUTOBUSES;Diesel;824
Andalucía/Almería;AUTOBUSES;Eléctrico;1
Andalucía/Almería;AUTOBUSES;Gasolina;1
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;48020
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47357
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;9
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;15
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;638
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;9147
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;9075
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;68
Andalucía/Almería;CICLOMOTORES;TOTAL;41556
Andalucía/Almería;CICLOMOTORES;Diesel;1201
Andalucía/Almería;CICLOMOTORES;Eléctrico;221
Andalucía/Almería;CICLOMOTORES;Gasolina;40132
Andalucía/Almería;CICLOMOTORES;Sin especificar;2
Andalucía/Almería;FURGONETAS;TOTAL;41901
Andalucía/Almería;FURGONETAS;Diesel;36137
Andalucía/Almería;FURGONETAS;Eléctrico;37
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;36
Andalucía/Almería;FURGONETAS;Gas Natural Comprimido;1
Andalucía/Almería;FURGONETAS;Gasolina;5687
Andalucía/Almería;FURGONETAS;Otros;1
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;MOTOCICLETAS;TOTAL;48976
Andalucía/Almería;MOTOCICLETAS;Diesel;99
Andalucía/Almería;MOTOCICLETAS;Eléctrico;96
Andalucía/Almería;MOTOCICLETAS;Gasolina;48777
Andalucía/Almería;MOTOCICLETAS;Sin especificar;4
Andalucía/Almería;OTROS VEHÍCULOS;TOTAL;9114
Andalucía/Almería;OTROS VEHÍCULOS;Diesel;6047
Andalucía/Almería;OTROS VEHÍCULOS;Eléctrico;39
Andalucía/Almería;OTROS VEHÍCULOS;Gas Licuado de Petroleo;4
