Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;37047850
TOTAL;AUTOBUSES;TOTAL;64451
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2136388
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;346800
TOTAL;CICLOMOTORES;TOTAL;1868090
TOTAL;FURGONETAS;TOTAL;2569481
TOTAL;MOTOCICLETAS;TOTAL;3866162
TOTAL;OTROS VEHÍCULOS;TOTAL;505364
TOTAL;REMOLQUES;TOTAL;221817
TOTAL;SEMIRREMOLQUES;TOTAL;290733
TOTAL;TRACTORES INDUSTRIALES;TOTAL;238493
TOTAL;TURISMOS;TOTAL;24940071
Andalucía/Almería;AUTOBUSES;TOTAL;864
Andalucía/Almería;AUTOBUSES;Diesel;862
Andalucía/Almería;AUTOBUSES;Eléctrico;1
Andalucía/Almería;AUTOBUSES;Gasolina;1
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;47624
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;46968
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;13
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;16
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;626
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;9240
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;9171
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;1
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;68
Andalucía/Almería;CICLOMOTORES;TOTAL;41344
Andalucía/Almería;CICLOMOTORES;Diesel;1200
Andalucía/Almería;CICLOMOTORES;Eléctrico;279
Andalucía/Almería;CICLOMOTORES;Gasolina;39861
Andalucía/Almería;CICLOMOTORES;Sin especificar;4
Andalucía/Almería;FURGONETAS;TOTAL;42179
Andalucía/Almería;FURGONETAS;Diesel;36414
Andalucía/Almería;FURGONETAS;Eléctrico;42
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;45
