Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;37088382
TOTAL;AUTOBUSES;TOTAL;64674
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2147069
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;348051
TOTAL;CICLOMOTORES;TOTAL;1872087
TOTAL;FURGONETAS;TOTAL;2571898
TOTAL;MOTOCICLETAS;TOTAL;3863590
TOTAL;OTROS VEHÍCULOS;TOTAL;504489
TOTAL;REMOLQUES;TOTAL;221742
TOTAL;SEMIRREMOLQUES;TOTAL;291628
TOTAL;TRACTORES INDUSTRIALES;TOTAL;239434
TOTAL;TURISMOS;TOTAL;24963720
Andalucía/Almería;AUTOBUSES;TOTAL;865
Andalucía/Almería;AUTOBUSES;Diesel;863
Andalucía/Almería;AUTOBUSES;Eléctrico;1
Andalucía/Almería;AUTOBUSES;Gasolina;1
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;47827
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47168
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;12
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;17
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;629
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;9267
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;9196
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;1
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;68
Andalucía/Almería;CICLOMOTORES;TOTAL;41416
Andalucía/Almería;CICLOMOTORES;Diesel;1201
Andalucía/Almería;CICLOMOTORES;Eléctrico;270
Andalucía/Almería;CICLOMOTORES;Gasolina;39941
Andalucía/Almería;CICLOMOTORES;Sin especificar;4
Andalucía/Almería;FURGONETAS;TOTAL;42299
Andalucía/Almería;FURGONETAS;Diesel;36523
Andalucía/Almería;FURGONETAS;Eléctrico;41
