Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;36818932
TOTAL;AUTOBUSES;TOTAL;63468
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2166718
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;346586
TOTAL;CICLOMOTORES;TOTAL;1884308
TOTAL;FURGONETAS;TOTAL;2537904
TOTAL;MOTOCICLETAS;TOTAL;3777599
TOTAL;OTROS VEHÍCULOS;TOTAL;490721
TOTAL;REMOLQUES;TOTAL;216647
TOTAL;SEMIRREMOLQUES;TOTAL;287382
TOTAL;TRACTORES INDUSTRIALES;TOTAL;238153
TOTAL;TURISMOS;TOTAL;24809446
Andalucía/Almería;AUTOBUSES;TOTAL;826
Andalucía/Almería;AUTOBUSES;Diesel;824
Andalucía/Almería;AUTOBUSES;Eléctrico;1
Andalucía/Almería;AUTOBUSES;Gasolina;1
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;48055
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47393
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;9
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;15
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;638
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;9122
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;9050
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;68
Andalucía/Almería;CICLOMOTORES;TOTAL;41576
Andalucía/Almería;CICLOMOTORES;Diesel;1199
Andalucía/Almería;CICLOMOTORES;Eléctrico;208
Andalucía/Almería;CICLOMOTORES;Gasolina;40167
Andalucía/Almería;CICLOMOTORES;Sin especificar;2
Andalucía/Almería;FURGONETAS;TOTAL;41794
Andalucía/Almería;FURGONETAS;Diesel;36032
Andalucía/Almería;FURGONETAS;Eléctrico;35
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;36
Andalucía/Almería;FURGONETAS;Gasolina;5688
Andalucía/Almería;FURGONETAS;Otros;1
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;MOTOCICLETAS;TOTAL;48792
Andalucía/Almería;MOTOCICLETAS;Diesel;100
Andalucía/Almería;MOTOCICLETAS;Eléctrico;94
Andalucía/Almería;MOTOCICLETAS;Gasolina;48594
Andalucía/Almería;MOTOCICLETAS;Sin especificar;4
Andalucía/Almería;OTROS VEHÍCULOS;TOTAL;9070
Andalucía/Almería;OTROS VEHÍCULOS;Diesel;6012
Andalucía/Almería;OTROS VEHÍCULOS;Eléctrico;38
Andalucía/Almería;OTROS VEHÍCULOS;Gas Licuado de Petroleo;4
Andalucía/Almería;OTROS VEHÍCULOS;Gas Natural Comprimido;1
Andalucía/Almería;OTROS VEHÍCULOS;Gasolina;2858
Andalucía/Almería;OTROS VEHÍCULOS;Otros;4
Andalucía/Almería;OTROS VEHÍCULOS;Sin especificar;153
Andalucía/Almería;REMOLQUES;TOTAL;2665
Andalucía/Almería;REMOLQUES;Sin especificar;2665
Andalucía/Almería;SEMIRREMOLQUES;TOTAL;10828
Andalucía/Almería;SEMIRREMOLQUES;Sin especificar;10828
Andalucía/Almería;TRACTORES INDUSTRIALES;TOTAL;9353
Andalucía/Almería;TRACTORES INDUSTRIALES;Diesel;9353
Andalucía/Almería;TURISMOS;TOTAL;384807
Andalucía/Almería;TURISMOS;Butano;2
Andalucía/Almería;TURISMOS;Diesel;258668
Andalucía/Almería;TURISMOS;Eléctrico;277
Andalucía/Almería;TURISMOS;Etanol;1
Andalucía/Almería;TURISMOS;Gas Licuado de Petroleo;488
Andalucía/Almería;TURISMOS;Gas Natural Comprimido;4
Andalucía/Almería;TURISMOS;Gas Natural Licuado;1
Andalucía/Almería;TURISMOS;Gasolina;125348
Andalucía/Almería;TURISMOS;Otros;15
Andalucía/Almería;TURISMOS;Sin especificar;3
Andalucía/Cádiz;AUTOBUSES;TOTAL;1027
Andalucía/Cádiz;AUTOBUSES;Diesel;1016
Andalucía/Cádiz;AUTOBUSES;Gas Natural Comprimido;10
