Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
TOTAL;TOTAL;TOTAL;36710927
TOTAL;AUTOBUSES;TOTAL;63353
TOTAL;CAMIONES HASTA 3500kg;TOTAL;2167944
TOTAL;CAMIONES MÁS DE 3500kg;TOTAL;346199
TOTAL;CICLOMOTORES;TOTAL;1888519
TOTAL;FURGONETAS;TOTAL;2525884
TOTAL;MOTOCICLETAS;TOTAL;3751159
TOTAL;OTROS VEHÍCULOS;TOTAL;486792
TOTAL;REMOLQUES;TOTAL;215195
TOTAL;SEMIRREMOLQUES;TOTAL;286195
TOTAL;TRACTORES INDUSTRIALES;TOTAL;237348
TOTAL;TURISMOS;TOTAL;24742339
Andalucía/Almería;AUTOBUSES;TOTAL;821
Andalucía/Almería;AUTOBUSES;Diesel;820
Andalucía/Almería;AUTOBUSES;Gasolina;1
Andalucía/Almería;CAMIONES HASTA 3500kg;TOTAL;47971
Andalucía/Almería;CAMIONES HASTA 3500kg;Diesel;47312
Andalucía/Almería;CAMIONES HASTA 3500kg;Eléctrico;9
Andalucía/Almería;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;13
Andalucía/Almería;CAMIONES HASTA 3500kg;Gasolina;637
Andalucía/Almería;CAMIONES MÁS DE 3500kg;TOTAL;9049
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Diesel;8978
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2
Andalucía/Almería;CAMIONES MÁS DE 3500kg;Gasolina;67
Andalucía/Almería;CICLOMOTORES;TOTAL;41628
Andalucía/Almería;CICLOMOTORES;Diesel;1194
Andalucía/Almería;CICLOMOTORES;Eléctrico;196
Andalucía/Almería;CICLOMOTORES;Gasolina;40236
Andalucía/Almería;CICLOMOTORES;Sin especificar;2
Andalucía/Almería;FURGONETAS;TOTAL;41607
Andalucía/Almería;FURGONETAS;Diesel;35855
Andalucía/Almería;FURGONETAS;Eléctrico;34
Andalucía/Almería;FURGONETAS;Gas Licuado de Petroleo;33
Andalucía/Almería;FURGONETAS;Gasolina;5682
Andalucía/Almería;FURGONETAS;Otros;1
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;MOTOCICLETAS;TOTAL;48443
Andalucía/Almería;MOTOCICLETAS;Diesel;97
Andalucía/Almería;MOTOCICLETAS;Eléctrico;88
Andalucía/Almería;MOTOCICLETAS;Gasolina;48254
Andalucía/Almería;MOTOCICLETAS;Sin especificar;4
Andalucía/Almería;OTROS VEHÍCULOS;TOTAL;8981
Andalucía/Almería;OTROS VEHÍCULOS;Diesel;5940
Andalucía/Almería;OTROS VEHÍCULOS;Eléctrico;38
Andalucía/Almería;OTROS VEHÍCULOS;Gas Licuado de Petroleo;4
Andalucía/Almería;OTROS VEHÍCULOS;Gas Natural Comprimido;1
Andalucía/Almería;OTROS VEHÍCULOS;Gasolina;2845
Andalucía/Almería;OTROS VEHÍCULOS;Otros;4
Andalucía/Almería;OTROS VEHÍCULOS;Sin especificar;149
Andalucía/Almería;REMOLQUES;TOTAL;2617
Andalucía/Almería;REMOLQUES;Sin especificar;2617
Andalucía/Almería;SEMIRREMOLQUES;TOTAL;10769
Andalucía/Almería;SEMIRREMOLQUES;Sin especificar;10769
Andalucía/Almería;TRACTORES INDUSTRIALES;TOTAL;9174
Andalucía/Almería;TRACTORES INDUSTRIALES;Diesel;9174
Andalucía/Almería;TURISMOS;TOTAL;383316
Andalucía/Almería;TURISMOS;Butano;2
Andalucía/Almería;TURISMOS;Diesel;257988
Andalucía/Almería;TURISMOS;Eléctrico;253
Andalucía/Almería;TURISMOS;Etanol;1
Andalucía/Almería;TURISMOS;Gas Licuado de Petroleo;473
Andalucía/Almería;TURISMOS;Gas Natural Comprimido;4
Andalucía/Almería;TURISMOS;Gas Natural Licuado;1
Andalucía/Almería;TURISMOS;Gasolina;124576
Andalucía/Almería;TURISMOS;Otros;15
Andalucía/Almería;TURISMOS;Sin especificar;3
Andalucía/Cádiz;AUTOBUSES;TOTAL;1026
Andalucía/Cádiz;AUTOBUSES;Diesel;1015
Andalucía/Cádiz;AUTOBUSES;Gas Natural Comprimido;10
Andalucía/Cádiz;AUTOBUSES;Gasolina;1
Andalucía/Cádiz;CAMIONES HASTA 3500kg;TOTAL;47893
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Diesel;46865
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Eléctrico;25
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;16
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Natural Comprimido;7
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gasolina;978
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Sin especificar;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;TOTAL;5682
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Diesel;5626
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Eléctrico;3
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;14
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gasolina;36
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Otros;1
Andalucía/Cádiz;CICLOMOTORES;TOTAL;103490
Andalucía/Cádiz;CICLOMOTORES;Diesel;2487
Andalucía/Cádiz;CICLOMOTORES;Eléctrico;425
Andalucía/Cádiz;CICLOMOTORES;Gasolina;100576
Andalucía/Cádiz;CICLOMOTORES;Sin especificar;2
Andalucía/Cádiz;FURGONETAS;TOTAL;39398
Andalucía/Cádiz;FURGONETAS;Biodiesel;1
Andalucía/Cádiz;FURGONETAS;Diesel;33228
Andalucía/Cádiz;FURGONETAS;Eléctrico;40
Andalucía/Cádiz;FURGONETAS;Gas Licuado de Petroleo;36
Andalucía/Cádiz;FURGONETAS;Gas Natural Comprimido;4
Andalucía/Cádiz;FURGONETAS;Gasolina;6088
Andalucía/Cádiz;FURGONETAS;Otros;1
Andalucía/Cádiz;MOTOCICLETAS;TOTAL;113182
Andalucía/Cádiz;MOTOCICLETAS;Diesel;113
Andalucía/Cádiz;MOTOCICLETAS;Eléctrico;1720
Andalucía/Cádiz;MOTOCICLETAS;Gas Licuado de Petroleo;8
Andalucía/Cádiz;MOTOCICLETAS;Gasolina;111329
Andalucía/Cádiz;MOTOCICLETAS;Otros;2
Andalucía/Cádiz;MOTOCICLETAS;Sin especificar;10
Andalucía/Cádiz;OTROS VEHÍCULOS;TOTAL;10117
Andalucía/Cádiz;OTROS VEHÍCULOS;Diesel;6988
Andalucía/Cádiz;OTROS VEHÍCULOS;Eléctrico;51
Andalucía/Cádiz;OTROS VEHÍCULOS;Gas Licuado de Petroleo;1
Andalucía/Cádiz;OTROS VEHÍCULOS;Gasolina;2870
Andalucía/Cádiz;OTROS VEHÍCULOS;Otros;2
Andalucía/Cádiz;OTROS VEHÍCULOS;Sin especificar;204
Andalucía/Cádiz;OTROS VEHÍCULOS;Solar;1
Andalucía/Cádiz;REMOLQUES;TOTAL;3808
Andalucía/Cádiz;REMOLQUES;Sin especificar;3808
Andalucía/Cádiz;SEMIRREMOLQUES;TOTAL;4271
Andalucía/Cádiz;SEMIRREMOLQUES;Sin especificar;4271
Andalucía/Cádiz;TRACTORES INDUSTRIALES;TOTAL;3200
Andalucía/Cádiz;TRACTORES INDUSTRIALES;Diesel;3200
Andalucía/Cádiz;TURISMOS;TOTAL;592337
Andalucía/Cádiz;TURISMOS;Biodiesel;2
Andalucía/Cádiz;TURISMOS;Biometano;1
Andalucía/Cádiz;TURISMOS;Butano;2
Andalucía/Cádiz;TURISMOS;Diesel;354591
Andalucía/Cádiz;TURISMOS;Eléctrico;369
Andalucía/Cádiz;TURISMOS;Etanol;1
Andalucía/Cádiz;TURISMOS;Gas Licuado de Petroleo;561
Andalucía/Cádiz;TURISMOS;Gas Natural Comprimido;59
Andalucía/Cádiz;TURISMOS;Gasolina;236737
Andalucía/Cádiz;TURISMOS;Hidrógeno;1
Andalucía/Cádiz;TURISMOS;Otros;8
Andalucía/Cádiz;TURISMOS;Sin especificar;5
Andalucía/Córdoba;AUTOBUSES;TOTAL;716
Andalucía/Córdoba;AUTOBUSES;Diesel;668
Andalucía/Córdoba;AUTOBUSES;Eléctrico;3
Andalucía/Córdoba;AUTOBUSES;Gas Natural Comprimido;43
Andalucía/Córdoba;AUTOBUSES;Gasolina;2
Andalucía/Córdoba;CAMIONES HASTA 3500kg;TOTAL;34455
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Diesel;33896
